"SystemName","status","OperatingSystems","Audience","Category","Translations","ProgrammingLan","UserInterface","LastUpdate","License"
"C# Studio","Pre-Alpha","linux/mac/windows","developers","software-development","English/Russian","c#","gnome","2013-03-07","mit-license"
"Cisco IOS command line simulator","Beta","bsd/linux","education/science-research","education","English","perl/php","web-based","2013-04-29","gnu-general-public-license-version-2.0-(gplv2)"
"Convert ANSI files to UNICODE files","Alpha","linux/mac/windows","other-audience","usability","Brazilian Portuguese","c#","command-line","2014-07-07","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Crc32","Beta","windows","developers/end-users-desktop","algorithms","English","visual-basic","win32-(ms-windows)","2015-12-19","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Custom Sign and Decal Maker","Pre-Alpha","bsd/linux/windows","end-users-desktop/information-technology","dynamic-content/printing/xml","English","javascript/php","web-based","2013-03-08","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Database Converter","Alpha","linux/mac/windows","advanced-end-users/developers/information-technology/system-administrators","front-ends","English","java","java-swing","2015-06-14","common-public-license-1.0"
"Desktop Atlas","Beta","windows","end-users-desktop","database/gis","English","c++","win32-(ms-windows)","2013-03-25","mit-license"
"Digital Speech Decoder and MBE Library","Beta","bsd/linux","telecommunications-industry","ham-radio","English","c","console-terminal","2014-07-08","bsd-license"
"Disk Garden","Alpha","linux/mac/windows","end-users-desktop","archiving/file-management","English/Polish","c#",".net-mono/win32-(ms-windows)","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"GLMark","Alpha","linux/windows","developers/end-users-desktop","benchmark","English","c","console-terminal/other-toolkit","2015-08-04","gnu-general-public-license-version-2.0-(gplv2)"
"GNU Gluco Control","Beta","bsd/linux/mac/windows","end-users-desktop","medical-science-apps.","English/French/German/Slovene","java","java-swing","2017-10-14","gnu-general-public-license-version-2.0-(gplv2)"
"HyenaeFE","Beta","linux/mac/windows","advanced-end-users/system-administrators","networking/security","English","c++","qt","2016-10-31","gnu-general-public-license-version-3.0-(gplv3)"
"JHeader","Alpha","linux/mac/windows","advanced-end-users/developers","editors/graphics-conversion","English","java","command-line/java-swing","2013-03-26","gnu-general-public-license-version-2.0-(gplv2)"
"Java Virtual Petrographic Microscope","Planning","windows","science-research","earth-sciences","English","java","java-swing","2013-09-15","other-license"
"KML-Editor","Beta","linux/mac/windows","education","education/text-editors","English/German","java","java-swing","2013-04-09","gnu-general-public-license-version-2.0-(gplv2)"
"Max Media Manager (phpAdsNew) Ad Server","Beta","linux/mac/windows","information-technology","www-http","English","php","web-based","2013-04-08","gnu-general-public-license-version-2.0-(gplv2)"
"Open79XX XML Directory","Alpha","linux/mac/windows","end-users-desktop","internet-phone/telephony","English","php","web-based","2013-04-16","gnu-general-public-license-version-2.0-(gplv2)"
"OpenBASIC","Alpha","bsd/linux/mac/windows","developers","cross-compilers/object-oriented","English","c++","allegro/cocoa-(macos-x)/gnome/kde/win32-(ms-windows)/x-window-system-(x11)","2015-11-08","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Php Interpreter","Beta","bsd/linux/mac/windows","advanced-end-users/customer-service/education/management/other-audience","interpreters","English/Turkish","php","web-based","2015-03-15","academic-free-license-(afl)/affero-gnu-public-license"
"Pixel Art Editor","Pre-Alpha","android","end-users-desktop","raster-based","English","java","handheld-mobile-pda","2015-12-15","gnu-general-public-license-version-2.0-(gplv2)"
"ProgramW","Alpha","windows","developers/end-users-desktop","artificial-intelligence/chat/education","English","java","console-terminal/java-awt/java-swing","2013-04-08","gnu-general-public-license-version-2.0-(gplv2)"
"ProxyChainsGUI","Beta","linux","system-administrators","internet","English","c++","x-window-system-(x11)","2015-08-04","gnu-general-public-license-version-2.0-(gplv2)"
"Q-Rap","Beta","linux","engineering/science-research/telecommunications-industry","communications/gis/mobile","English","c++","qt","2018-12-04","gnu-general-public-license-version-3.0-(gplv3)"
"QQ Mail Multi-Language Mail Client","Abandoned","windows","developers/end-users-desktop/system-administrators","email-clients-(mua)","Chinese (Simplified)/English","visual-basic","win32-(ms-windows)/windows-aero","2015-12-18","affero-gnu-public-license"
"Random Big Rich Man","Beta","linux/windows","end-users-desktop","board-games","English","java","java-swing","2019-12-15","creative-commons-attribution-non-commercial-license-v2.0/gnu-general-public-license-version-3.0-(gplv3)"
"Rescue! Max","Beta","linux/mac/windows","end-users-desktop","real-time-strategy","English","java","java-swing","2013-09-16","gnu-general-public-license-version-2.0-(gplv2)"
"Scilab Image Processing Toolbox","Beta","bsd/linux/windows","developers/education/science-research","artificial-intelligence/education/raster-based","English/Portuguese","c","win32-(ms-windows)/x-window-system-(x11)","2017-06-10","gnu-general-public-license-version-2.0-(gplv2)"
"Stream-2-Stream","Inactive","linux/mac/windows","developers/end-users-desktop/telecommunications-industry","internet/sound-audio/streaming/video","English","java","command-line/java-swing","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"The Lazy Admin","Beta","windows","customer-service/information-technology/management/system-administrators","hardware/logging/systems-administration","English","visual-basic","win32-(ms-windows)","2013-04-16","gnu-general-public-license-version-2.0-(gplv2)"
"WCM Commander","Abandoned","bsd/linux/mac/windows","advanced-end-users/developers/end-users-desktop/system-administrators","file-management","English/Russian","c++","win32-(ms-windows)/x-window-system-(x11)","2020-01-13","mit-license"
"WPSdb Search","Alpha","windows","security-professionals/telecommunications-industry","communications","Spanish","delphi-kylix","win32-(ms-windows)/windows-aero","2013-05-29","other-license"
"WinSip: Simple Windows SIP Proxy","Pre-Alpha","windows","developers/system-administrators","internet-phone/telephony","English","visual-basic","win32-(ms-windows)","2016-10-31","gnu-general-public-license-version-2.0-(gplv2)"
"eXtended Parameter Designer","Alpha","linux/windows","end-users-desktop","hardware-drivers","English/Russian","python","win32-(ms-windows)/x-window-system-(x11)","2014-06-09","gnu-general-public-license-version-3.0-(gplv3)"
"groundcad","Alpha","bsd/linux/windows","architects/developers/end-users-desktop/engineering/science-research/testers","computer-aided-technologies-(cadd-cam-cae)/gis/gps-(global-positioning-system)","Arabic/English/French","lazarus","gnome/win32-(ms-windows)","2018-04-08","other-license"
"jCAE","Beta","linux/mac/windows","science-research","physics/visualization","English","c++/java","win32-(ms-windows)/x-window-system-(x11)","2013-04-01","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"kapitalist","Beta","bsd/linux","end-users-desktop","board-games","English","c++","kde","2014-01-23","gnu-general-public-license-version-2.0-(gplv2)"
"linux-stv0680-usb-support","Beta","bsd/linux","end-users-desktop","graphics/video-capture","English","c","x-window-system-(x11)","2013-04-01","gnu-general-public-license-version-2.0-(gplv2)"
"phpCallGraph","Alpha","linux/mac/windows","developers/information-technology/quality-engineers","design/documentation/modeling","English","php","command-line","2015-05-03","gnu-general-public-license-version-2.0-(gplv2)"
"qbasic.net","Alpha","windows","developers","build-tools/debuggers","English","c#",".net-mono/win32-(ms-windows)","2015-06-07","bsd-license"
"thvortex-vmlab","Inactive","windows","developers/engineering/science-research","debuggers/simulations","English","c++","plugins/win32-(ms-windows)","2016-01-10","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"upnptest","Beta","windows","developers/quality-engineers","communications/firewalls/library/testing/www-http","English","c/c++","win32-(ms-windows)","2013-04-24","gnu-general-public-license-version-2.0-(gplv2)"
"visolate","Inactive","linux/mac/windows","advanced-end-users/engineering","other-nonlisted-topic","English","java","java-swing","2014-06-26","gnu-general-public-license-version-2.0-(gplv2)"
"JIU - Java Imaging Utilities","Beta","linux/mac/windows","developers/end-users-desktop","graphics-conversion/raster-based","English/French/German/Spanish","java","win32-(ms-windows)/x-window-system-(x11)","2013-05-01","gnu-general-public-license-version-2.0-(gplv2)"
"Wikipedia Miner Toolkit","Alpha","linux/mac/windows","information-technology/science-research","indexing-search/information-analysis","English","java","command-line","2013-05-30","gnu-general-public-license-version-2.0-(gplv2)"
"phpBMS","Beta","linux/mac/windows","system-administrators","office-business","English","javascript/php","web-based","2013-04-16","bsd-license"
"ALEXTV","Beta","windows","developers/information-technology","multiplayer","Bosnian/Croatian/German/Italian/Portuguese/Romanian/Serbian/Spanish","php","win32-(ms-windows)","2013-04-15","gnu-general-public-license-version-2.0-(gplv2)"
"TComport Lazarus","Beta","linux/windows","developers","hardware","English","delphi-kylix","win32-(ms-windows)/x-window-system-(x11)","2015-08-05","gnu-general-public-license-version-2.0-(gplv2)"
"PHP Certificate Authority","Beta","linux/mac/windows","developers/information-technology/system-administrators","authentication-directory/cryptography/www-http","English","php","web-based","2013-04-25","university-of-illinois-ncsa-open-source-license"
"TuxGuardian","Beta","bsd/linux","developers/end-users-desktop/system-administrators","firewalls/security/systems-administration","English","c","kde","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"Fangs - Screen Reader Emulator","Beta","linux/mac/windows","developers","user-interfaces","English","javascript","web-based","2013-04-17","gnu-general-public-license-version-2.0-(gplv2)"
"GUi ffmpeg","Alpha","bsd/linux","advanced-end-users/developers/end-users-desktop/other-audience","audio-conversion","Spanish","tcl","x-window-system-(x11)","2017-03-07","gnu-general-public-license-version-2.0-(gplv2)"
"NDoc3","Beta","windows","developers","documentation","English","c#",".net-mono/win32-(ms-windows)","2013-04-25","gnu-general-public-license-version-2.0-(gplv2)"
"A Wizard Card Game","Beta","linux/mac/windows","end-users-desktop","card-games","English/German","java","java-swing","2013-04-25","gnu-general-public-license-version-2.0-(gplv2)"
"Air Traffic Controller","Alpha","bsd/linux","developers/end-users-desktop","real-time-strategy/simulation","English","python","gnome","2013-06-03","gnu-general-public-license-version-2.0-(gplv2)"
"Arcanum Editor","Abandoned","linux/windows","advanced-end-users/developers/education/end-users-desktop/security/security-professionals","cryptography/text-editors/xml","English/German/Spanish","c#",".net-mono","2013-12-26","other-license"
"Astro-Online - Widget Based Astrology","Beta","linux/mac/windows","other-audience","education/games-entertainment/new-age","Dutch/English/German","java/javascript","web-based","2013-04-09","other-license"
"BrickMosaic","Abandoned","linux/mac/windows","end-users-desktop","hobbies","English/Italian","java","java-swing","2014-07-16","gnu-general-public-license-version-3.0-(gplv3)"
"ControllerToKeys","Alpha","linux/mac/windows","end-users-desktop","games-entertainment","English","java","java-swing","2015-07-29","creative-commons-attribution-non-commercial-license-v2.0"
"DidjImp","Beta","windows","manufacturing/other-audience","physics","English","c#",".net-mono","2013-04-18","gnu-general-public-license-version-2.0-(gplv2)"
"Gelide","Beta","bsd/linux","end-users-desktop","emulators/games-entertainment/gnome","English/French/German/Italian/Spanish/Swedish","c/c++","gnome/gtk+/project-is-a-user-interface-(ui)-system","2013-05-27","gnu-general-public-license-version-3.0-(gplv3)"
"Geo Canvas","Beta","bsd/linux/mac/windows","developers","gis","English","c/python","gnome","2018-05-16","gnu-general-public-license-version-2.0-(gplv2)"
"HTTPBrute","Alpha","linux/mac/windows","telecommunications-industry","cryptography","English","java","java-swing","2016-02-16","gnu-general-public-license-version-3.0-(gplv3)"
"JMyOggRadioPlayer","Beta","linux/windows","end-users-desktop","mp3","English/German","java","java-swing","2018-10-31","gnu-general-public-license-version-2.0-(gplv2)"
"Java Gui Builder","Beta","linux/mac/solaris/windows","developers/end-users-desktop","build-tools/compilers/desktop-environment/interpreters","English/French","java","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2013-04-16","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Jpg2Pdf","Pre-Alpha","linux/mac/windows","end-users-desktop","cataloguing","German","java","java-swing","2015-10-01","bsd-license"
"Kanagram","Planning","bsd/linux","end-users-desktop","puzzle-games","English","c++/perl","kde","2016-07-23","gnu-general-public-license-version-2.0-(gplv2)"
"Kantpoll","Beta","linux/windows","education/government/non-profit-organizations","voting","English/French/Portuguese/Spanish","javascript","web-based","2019-02-07","gnu-general-public-license-version-3.0-(gplv3)"
"L2Net","Alpha","windows","developers","communications/internet/multi-user-dungeons-(mud)/multimedia/real-time-strategy/role-playing","Chinese (Simplified)/Chinese (Traditional)/Dutch/English/French/Japanese/Korean/Spanish","c#/java/visual-basic-.net","console-terminal/win32-(ms-windows)","2013-04-10","gnu-general-public-license-version-2.0-(gplv2)"
"MIB Browser","Alpha","bsd/linux","system-administrators","monitoring","English","c++","kde","2015-11-10","gnu-general-public-license-version-2.0-(gplv2)"
"Morphix","Beta","bsd/linux","end-users-desktop/information-technology/other-audience/system-administrators","gnome/installation-setup/k-desktop-environment-(kde)","English","c/perl/python/unix-shell","gnome/kde","2013-04-17","gnu-general-public-license-version-2.0-(gplv2)/other-license"
"Mutabor","Beta","linux/mac/windows","education/end-users-desktop/other-audience/science-research","composition/interpreters/midi","English/German","c/c++","other-toolkit/win32-(ms-windows)/wxwidgets/x-window-system-(x11)","2019-04-02","gnu-general-public-license-version-2.0-(gplv2)"
"NyuFX","Beta","windows","non-profit-organizations","animation/hobbies/special-effects","Arabic/Chinese (Simplified)/English/French/German","c++/lua","project-is-a-graphics-toolkit/wxwidgets","2013-05-30","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"Ocean Empire","Beta","linux/mac/windows","developers/end-users-desktop","simulation/user-interfaces","English","python","project-is-a-graphics-toolkit/project-is-a-user-interface-(ui)-system/sdl","2013-06-03","bsd-license"
"PC-Lint Wizard","Beta","windows","developers/quality-engineers","source-code-analysis","English","visual-basic-.net",".net-mono","2015-12-27","eclipse-public-license"
"PDF Library","Beta","windows","end-users-desktop","library/research","English","c#","win32-(ms-windows)","2015-11-30","gnu-general-public-license-version-3.0-(gplv3)"
"Pokemon emerald launcher","Beta","windows","end-users-desktop","console-based-games","English","visual-basic","win32-(ms-windows)/windows-aero","2013-05-29","other-license/public-domain"
"ResKnife","Pre-Alpha","bsd/linux/mac","developers/end-users-desktop/system-administrators","software-development/systems-administration/text-editors","English","c++","cocoa-(macos-x)","2014-02-20","public-domain"
"RevConnect - Enhanced DC++","Alpha","windows","end-users-desktop","chat/file-sharing/internet","English","c++","win32-(ms-windows)","2013-04-23","gnu-general-public-license-version-2.0-(gplv2)"
"Sahara  -  a proxy finder","Pre-Alpha","bsd/linux","end-users-desktop","www-http","Chinese (Simplified)/English","c","gtk+","2013-03-08","gnu-general-public-license-version-2.0-(gplv2)"
"Saitek X-Plane Instrument Panel","Beta","windows","end-users-desktop","simulation/user-interfaces/viewers","English","c++","handheld-mobile-pda","2016-11-12","gnu-general-public-license-version-2.0-(gplv2)"
"SimplexInPHP","Beta","linux/mac/windows","education/science-research","mathematics","Italian","php","web-based","2013-04-16","gnu-general-public-license-version-2.0-(gplv2)"
"SmartSieve","Beta","linux/mac/windows","information-technology/system-administrators","filters/systems-administration","Catalan/English/French/German/Italian/Russian/Spanish","php","web-based","2013-04-24","gnu-general-public-license-version-2.0-(gplv2)"
"Spinvaders","Beta","mac/windows","end-users-desktop","side-scrolling-arcade-games","English","python","sdl","2014-07-08","gnu-general-public-license-version-2.0-(gplv2)"
"SteGUI","Beta","linux","end-users-desktop","players/security/viewers","English","c/c++","fltk","2013-04-09","gnu-general-public-license-version-2.0-(gplv2)"
"SudokuBan","Beta","linux/mac/windows","end-users-desktop","puzzle-games","English","python","gtk+","2013-03-08","gnu-general-public-license-version-2.0-(gplv2)"
"TAS Movie Editor","Beta","windows","other-audience","games-entertainment/text-editors","English","c#","win32-(ms-windows)","2015-12-17","gnu-general-public-license-version-2.0-(gplv2)"
"TestGen.Net","Beta","windows","developers","testing","Chinese (Simplified)","c#",".net-mono","2016-05-21","other-license"
"Torrent Portal","Beta","linux/mac/windows","advanced-end-users/developers/end-users-desktop/system-administrators","file-sharing/www-http","English","php","web-based","2015-08-07","php-license"
"Turbo Basic Programs","Alpha","windows","end-users-desktop","mathematics","Russian","basic","console-terminal","2013-04-05","gnu-general-public-license-version-2.0-(gplv2)"
"UnidenCommander","Beta","windows","end-users-desktop","ham-radio","English","visual-basic-.net",".net-mono","2013-04-24","gnu-general-public-license-version-2.0-(gplv2)"
"VR GIS 64","Planning","windows","developers/end-users-desktop","earth-sciences/gis/graphics","English","delphi-kylix/free-pascal","win32-(ms-windows)","2012-12-12","gnu-general-public-license-version-2.0-(gplv2)/mozilla-public-license-1.1-(mpl-1.1)"
"Yap!","Beta","windows","developers/information-technology/system-administrators","internet","English","delphi-kylix","win32-(ms-windows)","2013-03-21","gnu-general-public-license-version-2.0-(gplv2)"
"aTwin","Beta","windows","end-users-desktop","games-entertainment","English","c","win32-(ms-windows)","2013-04-01","gnu-general-public-license-version-2.0-(gplv2)"
"cxbrowser","Beta","windows","developers/end-users-desktop","browsers/testing","English/Spanish","c#/javascript",".net-mono/win32-(ms-windows)","2020-03-30","gnu-general-public-license-version-2.0-(gplv2)"
"mCast","Pre-Alpha","linux/mac/windows","developers/end-users-desktop/other-audience/system-administrators","internet/telephony","English/French","perl/php","web-based","2013-02-21","gnu-general-public-license-version-2.0-(gplv2)"
"magiccube3","Beta","linux/windows","end-users-desktop","games-entertainment","English/German","c++","opengl","2018-10-14","gnu-general-public-license-version-3.0-(gplv3)"
"p12 import","Beta","windows","developers/end-users-desktop","cryptography","English/Italian","c/c++","win32-(ms-windows)","2013-03-14","gnu-general-public-license-version-2.0-(gplv2)"
"pdnmesh Finite Element program","Beta","bsd/linux/windows","education/end-users-desktop/science-research","electronic-design-automation-(eda)/mathematics/physics/visualization","English","c","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2013-04-16","gnu-general-public-license-version-2.0-(gplv2)"
"rtf2html converter","Beta","bsd/linux/windows","developers/end-users-desktop/other-audience","cgi-tools-libraries/html-xhtml/text-processing","English/Russian/Ukrainian","c++","command-line","2013-04-15","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Artec AS6E Scanner Driver for Linux","Beta","bsd/linux","end-users-desktop","scanners","English","c","x-window-system-(x11)","2013-06-03","gnu-general-public-license-version-2.0-(gplv2)"
"BestOffice","Beta","windows","developers/education/end-users-desktop","office-suites","Brazilian Portuguese/English","delphi-kylix/object-pascal/pascal","win32-(ms-windows)","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)/mozilla-public-license-1.1-(mpl-1.1)"
"Creative Nomad JukeBox KIO::Slave","Alpha","bsd/linux/mac","end-users-desktop","hardware-drivers/k-desktop-environment-(kde)/mp3","English","c++","kde","2016-09-20","gnu-general-public-license-version-2.0-(gplv2)"
"Cyclone","Alpha","linux","end-users-desktop","composition/midi/players","English/Italian","c/c++","qt","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"DNX - Distributed Nagios eXecutor","Alpha","linux","system-administrators","monitoring","English","c","non-interactive-(daemon)","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"Dos9","Beta","bsd/linux/windows","developers/end-users-desktop/system-administrators","interpreters/software-development/terminals","English/French","c","command-line/console-terminal","2019-05-16","gnu-general-public-license-version-3.0-(gplv3)"
"Enc2ly","Beta","bsd/linux","advanced-end-users","data-formats","Brazilian Portuguese/English/Esperanto","c","command-line","2019-05-14","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"EnterpriseTimeSheet and Payroll","Alpha","bsd/linux","developers/end-users-desktop/other-audience","dynamic-content/scheduling","English/French","php","web-based","2013-04-15","gnu-general-public-license-version-2.0-(gplv2)"
"FireWeb","Beta","windows","developers/end-users-desktop/testers","browsers","English/Italian","c/c#/c++","web-based","2014-03-17","gnu-general-public-license-version-3.0-(gplv3)"
"FreeLords","Alpha","linux/mac/windows","end-users-desktop","turn-based-strategy","English","java","java-swing","2018-06-09","gnu-general-public-license-version-2.0-(gplv2)"
"GpxTcxWelder","Beta","linux/mac/windows","advanced-end-users/end-users-desktop","gps-(global-positioning-system)/xml","English","java","java-swing","2016-10-24","gnu-general-public-license-version-3.0-(gplv3)"
"IZ1KGA APRS Map GEnerator","Beta","windows","end-users-desktop/other-audience","ham-radio","Italian","delphi-kylix","win32-(ms-windows)","2016-07-16","gnu-general-public-license-version-3.0-(gplv3)"
"Java RDF Binding","Inactive","linux/mac/windows","developers","internet/semantic-web-(rdf,-owl,-etc.)/software-development","English","java","web-based","2013-04-25","apache-software-license/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Java Randomness Test Suite","Alpha","linux/mac/windows","science-research","cryptography/information-analysis/mathematics","English","java","command-line/java-awt","2013-03-08","open-software-license-3.0-(osl3.0)"
"Lazy File Sorter","Beta","linux/mac/windows","end-users-desktop","cataloguing/filesystems/office-business","English","java","java-swing","2015-08-07","gnu-general-public-license-version-3.0-(gplv3)"
"Linux Force Feedback Library","Planning","bsd/linux","developers","games-entertainment/hardware/human-machine-interfaces","English","c/c++","non-interactive-(daemon)","2013-04-15","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"LittleFoot Elegance Photo ASCOM Driver","Inactive","windows","end-users-desktop/science-research","astronomy/hardware-drivers","English","c#",".net-mono/win32-(ms-windows)","2016-05-01","gnu-general-public-license-version-2.0-(gplv2)"
"Marine Bot","Beta","bsd/linux/windows","end-users-desktop/system-administrators","first-person-shooters","English","c++","plugins","2019-02-27","gnu-general-public-license-version-2.0-(gplv2)"
"MixRoutix","Alpha","windows","other-audience/security/testers","monitoring/routing/system-shells","English/Indonesian","c#",".net-mono/win32-(ms-windows)","2016-01-24","creative-commons-attribution-license"
"My Own soCKs Server","Alpha","bsd/linux/solaris","developers/education/end-users-desktop/system-administrators","communications/internet/networking","English","c","non-interactive-(daemon)","2015-07-26","gnu-general-public-license-version-2.0-(gplv2)"
"NCover","Beta","windows","developers","build-tools","English","c#","win32-(ms-windows)","2013-01-09","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"NSISu - NSIS Unicode","Beta","windows","developers","build-tools/i18n-(internationalization)","English","c++","command-line/console-terminal/win32-(ms-windows)","2015-08-03","zlib-libpng-license"
"Open Invaders","Alpha","bsd/linux/windows","end-users-desktop","side-scrolling-arcade-games","English","c++","allegro","2013-04-30","gnu-general-public-license-version-2.0-(gplv2)"
"PicBurner","Pre-Alpha","bsd/linux/windows","advanced-end-users/developers/manufacturing","hardware","Brazilian Portuguese/English","c++","kde/win32-(ms-windows)","2016-01-31","mozilla-public-license-1.1-(mpl-1.1)"
"Poisoned","Beta","bsd/linux/mac","end-users-desktop","internet","English","c/c++","cocoa-(macos-x)","2013-04-11","gnu-general-public-license-version-2.0-(gplv2)"
"Python games library for PS3","Alpha","linux","developers","frameworks/games-entertainment","English","python","framebuffer/project-is-a-graphics-toolkit","2013-04-23","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Python vipera","Beta","linux/windows","developers/education/end-users-desktop","design/uml","English/Spanish","python","wxwidgets","2016-03-12","gnu-general-public-license-version-3.0-(gplv3)"
"Shelk-test","Beta","bsd/linux/mac/windows","education/end-users-desktop/non-profit-organizations","html-xhtml/postscript/testing","English/Russian","c++","qt","2016-11-23","gnu-general-public-license-version-2.0-(gplv2)"
"SmallSQL Database - Java DBMS","Beta","linux/mac/windows","developers","database-engines-servers","English/German/Italian","java","java-swing","2013-04-22","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"SuperNova.WS - xNova on steroids","Alpha","linux/mac/windows","system-administrators/telecommunications-industry","multiplayer/real-time-strategy/www-http","English/Russian","php","web-based","2019-07-27","gnu-general-public-license-version-2.0-(gplv2)"
"Tabla Periodica","Beta","linux/windows","developers/education/engineering/other-audience","chemistry/earth-sciences/information-analysis","Spanish","java","java-awt/java-swing","2013-05-30","creative-commons-attribution-license"
"Tfpd","Planning","linux","developers","embedded-systems/software-development","Korean","c/c++","eclipse","2013-04-11","gnu-general-public-license-version-2.0-(gplv2)"
"The Hack Machine","Alpha","windows","developers","file-transfer-protocol-(ftp)/monitoring","English/French","c++","win32-(ms-windows)","2014-07-27","gnu-general-public-license-version-2.0-(gplv2)"
"Tutor Classroom","Beta","windows","education/end-users-desktop","conferencing/education/sound-audio","English","c#",".net-mono","2014-04-07","gnu-general-public-license-version-2.0-(gplv2)"
"Weiss","Inactive","bsd/linux/windows","education/end-users-desktop","multi-user-dungeons-(mud)/networking","English","delphi-kylix","win32-(ms-windows)","2013-04-03","gnu-general-public-license-version-2.0-(gplv2)"
"XUL4Java","Beta","linux/mac/windows","advanced-end-users/developers/information-technology","agile-development-tools/frameworks/user-interfaces","English","java/javascript","handheld-mobile-pda/java-swing/project-is-a-user-interface-(ui)-system/web-based","2013-04-11","apache-license-v2.0"
"Yaaye Vob v3","Pre-Alpha","windows","end-users-desktop","dvd/realtime-processing/video","English","visual-basic-.net","win32-(ms-windows)","2018-07-29","gnu-free-documentation-license"
"ZX Tape tool","Alpha","linux/mac/windows","developers/end-users-desktop","packaging","English","java","win32-(ms-windows)/x-window-system-(x11)","2013-02-20","gnu-general-public-license-version-2.0-(gplv2)"
"ft89prog","Alpha","linux/windows","developers","software-development","English","c","command-line","2013-04-03","gnu-general-public-license-version-2.0-(gplv2)"
"fuse-convmvfs","Beta","linux","advanced-end-users/system-administrators","filesystems","English","c++","command-line","2013-05-03","gnu-general-public-license-version-2.0-(gplv2)"
"gnac","Beta","linux","end-users-desktop","audio-conversion/gnome/video-conversion","Brazilian Portuguese/Catalan/Chinese (Simplified)/Czech/Danish/English/French/Galician/German/Greek/Hebrew/Hungarian/Indonesian/Italian/Lithuanian/Norwegian/Polish/Romanian/Russian/Serbian/Slovene/Spanish/Swedish/Telugu/Turkish","c","gnome/gtk+","2018-09-17","gnu-general-public-license-version-3.0-(gplv3)"
"phgstats - php game server status","Beta","linux/mac/windows","information-technology","games-entertainment","English/German","php","web-based","2016-08-18","bsd-license"
"pdfreflow","Alpha","bsd/linux","advanced-end-users","text-processing","English","c","command-line","2016-02-17","gnu-general-public-license-version-3.0-(gplv3)"
"DUFF: DUplicate File Finder","Pre-Alpha","windows","end-users-desktop/system-administrators","filesystems","English","c++","win32-(ms-windows)","2013-04-29","gnu-general-public-license-version-2.0-(gplv2)"
"Auto(matic) SSH Tunnel Manager","Beta","windows","advanced-end-users","networking","English","delphi-kylix","win32-(ms-windows)","2014-07-01","gnu-general-public-license-version-2.0-(gplv2)"
"Batch Projects","Alpha","windows","developers/information-technology","user-interfaces","Italian","visual-basic-.net","win32-(ms-windows)","2015-03-18","public-domain"
"Battle Just Started","Inactive","linux/mac/windows","end-users-desktop","first-person-shooters","Czech/English/Italian/Russian/Slovak","c++/lua","opengl/sdl","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"CrosswordPuzzle","Beta","linux/mac/windows","end-users-desktop","puzzle-games","English","python","qt","2013-04-18","public-domain"
"Curses Sharp","Alpha","bsd/linux/windows","developers","libraries/object-oriented/terminals","English","c/c#","console-terminal/curses-ncurses","2013-04-26","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"DRINKS Toolkit","Alpha","android/bsd/linux/mac/windows","advanced-end-users/developers/engineering/information-technology/quality-engineers","test-and-measurement/visualization/www-http","English/Italian","javascript/php/standard-ml","grouping-and-descriptive-categories-(ui)/non-interactive-(daemon)/tabletpc/web-based","2015-06-29","bsd-license"
"Internet Surfboard (Browser)","Beta","windows","advanced-end-users/developers/end-users-desktop","browsers","English","c++","qt/web-based/win32-(ms-windows)","2013-04-16","gnu-general-public-license-version-3.0-(gplv3)"
"Light Pascal Toolkit","Alpha","bsd/linux/mac/windows","developers/education/information-technology","database/software-development","English","delphi-kylix/object-pascal/pascal","win32-(ms-windows)/x-window-system-(x11)","2013-04-08","bsd-license"
"Lightweight PHP SMPP API","Alpha","linux/mac/windows","developers","telephony","English","php","web-based","2015-10-14","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
