"SystemName","status","OperationSystems","Audience","Category","Translations","ProgrammingLan","UserInterface","LastUpdate","License"
"Jena",NA,"NA","architects/developers/financial-and-insurance-industry/government/information-technology/science-research","database/www-http","NA","java","NA","2017-11-22","apache-license-v2.0/bsd-license"
"DSpellCheck",NA,"NA","NA","NA","NA","NA","NA","2015-04-06","NA"
"Stani's Python Editor",NA,"bsd/linux/mac/windows","advanced-end-users/developers/end-users-desktop","3d-modeling/3d-rendering/debuggers/integrated-development-environments-(ide)/modeling/profiling","NA","python","carbon-(mac-os-x)/cocoa-(macos-x)/gnome/kde/win32-(ms-windows)/wxwidgets","2016-09-29","gnu-general-public-license-version-2.0-(gplv2)"
"WS-Attacker",NA,"NA","NA","NA","NA","NA","NA","2016-11-29","NA"
"EXE-P - Free PHP to EXE converter",NA,"NA","NA","NA","NA","NA","NA","2015-10-21","NA"
"Starter Change Background",NA,"NA","NA","NA","NA","NA","NA","2015-12-13","NA"
"MSEide+MSEgui",NA,"bsd/linux/windows","developers","software-development","NA","pascal","win32-(ms-windows)/x-window-system-(x11)","2018-11-27","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"VSL: Virtual Steganographic Laboratory",NA,"bsd/linux/mac/windows","advanced-end-users/developers/information-technology/science-research","education/graphics/security","NA","java","java-swing/project-is-a-user-interface-(ui)-system","2013-04-11","gnu-general-public-license-version-2.0-(gplv2)/gnu-general-public-license-version-3.0-(gplv3)"
"Excel LDAP Search","Beta","windows","advanced-end-users/end-users-desktop/system-administrators","front-ends/ldap","NA","c++/visual-basic","win32-(ms-windows)","2014-04-10","gnu-general-public-license-version-2.0-(gplv2)"
"AIFF Audio Tools","Beta","bsd/linux","developers/end-users-desktop","audio-conversion/editors/players","English","c","command-line/console-terminal","2015-10-15","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)/mit-license"
"ASCII Converter",NA,"windows","advanced-end-users","debuggers/testing","English","delphi-kylix/pascal","win32-(ms-windows)","2015-12-20","gnu-general-public-license-version-2.0-(gplv2)"
"CSV Mesh Importer for Blender","Beta","linux/mac/windows","developers","graphics","English","python","plugins","2015-05-10","bsd-license"
"Format-USB",NA,"NA","NA","storage","NA","NA","NA","2016-10-21","creative-commons-attribution-license/gnu-general-public-license-version-3.0-(gplv3)"
"Getsubtitle","Beta","windows","NA","NA","NA","c#","NA","2016-10-24","bsd-license"
"Java Assembling Language","Alpha","linux/mac/windows","advanced-end-users/developers","email","English","java","command-line","2013-03-08","apache-software-license"
"Libreria PanamaHitek_Arduino",NA,"NA","NA","algorithms","NA","java","NA","2019-07-19","creative-commons-attribution-license"
"Linpac",NA,"bsd/linux","advanced-end-users/developers","ham-radio/terminals/wireless","English","c++/java","curses-ncurses/java-swing","2020-04-19","gnu-general-public-license-version-2.0-(gplv2)"
"Magyar Ispell",NA,"NA","NA","NA","NA","NA","NA","2018-10-21","NA"
"MathLab","Beta","windows","science-research","mathematics/presentation","NA","c#","NA","2013-03-26","gnu-general-public-license-version-2.0-(gplv2)"
"M<U+00F3>dulos",NA,"NA","NA","NA","NA","NA","NA","2020-03-05","NA"
"Partition Logic",NA,"NA","system-administrators","NA","English/German/Russian/Spanish/Turkish","assembly/c","NA","2020-04-20","gnu-general-public-license-version-3.0-(gplv3)/gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"Quiz Maker Portable",NA,"NA","NA","education","NA","NA","NA","2017-06-17","NA"
"Resolution Changer","Beta","windows","advanced-end-users/end-users-desktop","graphics/hardware","English","c++","command-line/win32-(ms-windows)","2015-04-29","gnu-general-public-license-version-2.0-(gplv2)"
"Shell Package Manager",NA,"linux/windows","NA","git/software-distribution","NA","unix-shell","console-terminal","2014-02-22","creative-commons-attribution-license"
"SuperX",NA,"NA","NA","NA","NA","NA","NA","2020-01-26","NA"
"Tochnog Finite Element Analysis","Beta","bsd/linux/mac/windows","developers/end-users-desktop","computer-aided-technologies-(cadd-cam-cae)/scientific-engineering","NA","c++","NA","2016-10-30","gnu-general-public-license-version-2.0-(gplv2)"
"Videomass",NA,"bsd/linux/mac/windows","end-users-desktop","video-conversion","English/Italian","python","wxwidgets","5 days ago","gnu-general-public-license-version-3.0-(gplv3)"
"Winbond webcam IC driver","Pre-Alpha","bsd/linux","developers/end-users-desktop","conferencing/digital-camera/hardware","NA","c","non-interactive-(daemon)","2013-02-25","gnu-general-public-license-version-2.0-(gplv2)"
"autoEPG","Planning","windows","advanced-end-users","home-theater-pc/internet","English/Macedonian","NA","windows-aero","2018-02-06","common-development-and-distribution-license"
"caesar-lisflood",NA,"windows","education","earth-sciences/simulations","NA","c#",".net-mono","2019-08-07","gnu-general-public-license-version-3.0-(gplv3)"
"conio for mac and windows ",NA,"NA","NA","NA","NA","NA","NA","2013-04-11","NA"
"crossmap",NA,"bsd/linux/mac","education/engineering/science-research","bio-informatics","NA","c/python","NA","2020-03-24","gnu-general-public-license-version-2.0-(gplv2)"
"dosmid",NA,"NA","end-users-desktop","midi","NA","c","NA","2020-04-07","bsd-license"
"drumstick",NA,"NA","developers","libraries/midi","NA","c++","qt","2020-04-10","gnu-general-public-license-version-2.0-(gplv2)"
"lilyPAD","Beta","bsd/linux/windows","developers/end-users-desktop","chat","NA","tcl","win32-(ms-windows)/x-window-system-(x11)","2013-04-08","bsd-license"
"m23",NA,"bsd/linux","customer-service/developers/end-users-desktop/information-technology/non-profit-organizations/system-administrators","backup/clustering/installation-setup/software-distribution/systems-administration","English/French/German","c/c++/php/unix-shell","console-terminal/non-interactive-(daemon)/web-based","4 days ago","gnu-general-public-license-version-2.0-(gplv2)/gnu-general-public-license-version-3.0-(gplv3)"
"Eclipse-PyUML",NA,"linux/mac/windows","developers","modeling","NA","NA","java-swt","2013-04-16","eclipse-public-license"
"Card Me - VCard Java Library",NA,"android/bsd/linux/windows","developers/information-technology/telecommunications-industry","NA","NA","java","NA","2017-04-10","apache-license-v2.0/bsd-license"
"Vivia - The Video Editor","Abandoned","NA","end-users-desktop","non-linear-editor","NA","assembly/c++","opengl/qt/sdl","2014-10-26","gnu-general-public-license-version-2.0-(gplv2)"
"Adobe Source Libraries","Alpha","mac/windows","developers","algorithms/frameworks/i18n-(internationalization)/modeling/user-interfaces","English","c++","other-toolkit/project-is-a-user-interface-(ui)-system/project-is-a-window-manager","2013-04-29","mit-license"
"i-conized","Beta","NA","end-users-desktop","other-nonlisted-topic","English","c++","win32-(ms-windows)","2012-12-10","gnu-general-public-license-version-2.0-(gplv2)"
"The Search Engine Project (PHP Search En",NA,"linux/mac/windows","advanced-end-users","indexing-search","English/French/German/Portuguese/Spanish","php","web-based","2013-12-20","gnu-general-public-license-version-2.0-(gplv2)"
"ht://Dig",NA,"linux/mac/windows","other-audience/system-administrators","indexing-search","NA","c/c++","web-based","2013-06-03","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"iTunes Duplicate Song Manager",NA,"linux/mac/windows","end-users-desktop","multimedia","NA","java","java-swing","2013-04-25","gnu-general-public-license-version-2.0-(gplv2)"
"AContent",NA,"linux/mac/windows","education","cms-systems/education/packaging","English","javascript/php","web-based","2018-02-09","gnu-general-public-license-version-2.0-(gplv2)"
"Algorithmic Computer Music 26th 2020",NA,"NA","NA","NA","NA","NA","NA","2020-03-28","NA"
"Blaze","Beta","windows","advanced-end-users/end-users-desktop","desktop-environment/human-machine-interfaces/search","English","c#/python","win32-(ms-windows)","2015-09-06","gnu-general-public-license-version-3.0-(gplv3)"
"ClusterShell",NA,"bsd/linux","developers/system-administrators","clustering/ssh-(secure-shell)/systems-administration","NA","python","command-line","2017-09-12","other-license"
"Fame",NA,"linux/windows","end-users-desktop/other-audience","role-playing/turn-based-strategy","English/Polish","NA","NA","2019-02-12","NA"
"FortesReport",NA,"linux/windows","NA","software-development","NA","delphi-kylix","NA","2016-05-24","gnu-general-public-license-version-2.0-(gplv2)"
"G15SysMon","Beta","windows","developers/end-users-desktop","benchmark/monitoring","English","c#","project-is-a-user-interface-(ui)-system","2016-02-20","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Golden Crop","Beta","linux/mac/windows","education/end-users-desktop/information-technology","raster-based","English/German/Italian/Polish/Russian","javascript","plugins","2018-07-03","gnu-general-public-license-version-2.0-(gplv2)"
"MAX! home automation",NA,"linux/windows","end-users-desktop","building-automation","NA","ada","gtk+","2020-03-10","gnu-general-public-license-version-2.0-(gplv2)"
"MailCleaner",NA,"linux/windows","advanced-end-users/education/government/information-technology/system-administrators/telecommunications-industry","anti-spam/filters/firewalls","Brazilian Portuguese/Chinese (Simplified)/Dutch/English/French/German/Italian/Norwegian/Portuguese/Spanish","c/perl/php/python/unix-shell","web-based","2018-09-22","gnu-general-public-license-version-2.0-(gplv2)"
"Pear Linux Private Dev","Abandoned","NA","NA","NA","NA","NA","NA","2014-02-27","NA"
"Quine-McCluskey minimizer",NA,"bsd/linux/windows","developers/education/engineering/science-research","algorithms/education/scientific-engineering","NA","c","console-terminal","2013-05-29","public-domain"
"RPG Next Gen Editor",NA,"linux/mac/windows","developers","software-development","NA","java","java-swt","2012-09-14","gnu-general-public-license-version-3.0-(gplv3)"
"RackMonkey",NA,"linux/mac/windows","information-technology/system-administrators/telecommunications-industry","hardware/systems-administration","English","perl","web-based","2013-04-24","gnu-general-public-license-version-2.0-(gplv2)"
"SIMH - multi-system simulator",NA,"bsd/linux/windows","advanced-end-users/developers/end-users-desktop/system-administrators","emulators","English","c","console-terminal","2020-02-03","bsd-license"
"Sharelin","Beta","NA","advanced-end-users/end-users-desktop","NA","NA","NA","NA","2014-07-31","NA"
"StarPy Asterisk Protocols for Twisted","Alpha","linux/mac/windows","developers","telephony","NA","python","NA","2013-04-24","bsd-license"
"Xfce Evolution",NA,"bsd/linux","end-users-desktop","desktop-environment/system-shells","NA","NA","x-window-system-(x11)","2019-10-19","gnu-general-public-license-version-2.0-(gplv2)"
"minidjvu","Alpha","bsd/linux/windows","advanced-end-users","algorithms/compression/scanners","NA","c/c++","command-line","2013-04-25","gnu-general-public-license-version-2.0-(gplv2)"
"pasdoc",NA,"NA","NA","NA","NA","NA","NA","2018-04-10","NA"
"wxPack",NA,"windows","developers","build-tools/frameworks","NA","c++","win32-(ms-windows)/wxwidgets","2013-08-26","wxwindows-library-licence"
"3nity Media Player",NA,"windows","advanced-end-users/architects/auditors/developers/end-users-desktop","dvd/players/video","English/French/Spanish","delphi-kylix/object-pascal","directx/win32-(ms-windows)","2016-08-24","gnu-general-public-license-version-2.0-(gplv2)"
"AstroPatterns",NA,"windows","advanced-end-users/developers","new-age","NA","c++","NA","2013-04-09","gnu-general-public-license-version-2.0-(gplv2)"
"Classpath Helper",NA,"windows","developers/information-technology/quality-engineers/science-research","debuggers/quality-assurance","English","java","java-swt","2013-04-18","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"CorpusSearch","Alpha","NA","end-users-desktop","database/scientific-engineering","English","java","command-line","2013-06-26","mozilla-public-license-1.1-(mpl-1.1)"
"Debox GNU/Linux Live CD",NA,"linux","advanced-end-users/end-users-desktop/other-audience","desktop-environment/live-cd/os-distribution","Arabic/Bulgarian/Dutch/English/French/German/Greek/Italian/Polish/Portuguese/Romanian/Russian/Spanish","c/python/unix-shell","command-line/gnome/gtk+/x-window-system-(x11)","2015-08-16","gnu-general-public-license-version-3.0-(gplv3)"
"Docsis cable modem diagnostic",NA,"bsd/linux","advanced-end-users/developers/system-administrators","monitoring","NA","c++","NA","2015-11-25","gnu-general-public-license-version-2.0-(gplv2)"
"Dump .torrent file information",NA,"bsd/linux/windows","advanced-end-users/developers/end-users-desktop","bittorrent","English","c","command-line/win32-(ms-windows)","2014-05-25","gnu-general-public-license-version-2.0-(gplv2)"
"Duty Roaster","Inactive","linux/windows","end-users-desktop/non-profit-organizations","scheduling","NA","c++","gtk+","2016-11-17","gnu-general-public-license-version-2.0-(gplv2)"
"EasyStruts",NA,"linux/mac/windows","developers","build-tools/case/code-generators/design/integrated-development-environments-(ide)/modeling","English/French","java","carbon-(mac-os-x)/gtk+/java-swt/win32-(ms-windows)/x-window-system-(x11)","2013-04-03","apache-software-license"
"EeePC ACPI Utilities","Abandoned","linux","NA","gnome","NA","unix-shell","non-interactive-(daemon)/x-window-system-(x11)","2014-04-10","gnu-general-public-license-version-2.0-(gplv2)"
"FlashForth: for PIC and Atmega",NA,"NA","advanced-end-users/developers","embedded-systems/operating-system-kernels/system-shells","NA","NA","command-line","2020-04-15","gnu-general-public-license-version-3.0-(gplv3)"
"IEC 60870-5-101 Client Master Simulator",NA,"windows","telecommunications-industry","scada","NA","c++","win32-(ms-windows)","2020-03-28","other-license"
"JFritz, FRITZ!Box Call Manager",NA,"linux/mac/windows","end-users-desktop","telephony","English/German","java","java-swing","2017-01-17","gnu-general-public-license-version-2.0-(gplv2)"
"JsDOSBox","Beta","NA","NA","emulators","NA","java/javascript","NA","2016-01-10","gnu-general-public-license-version-2.0-(gplv2)"
"KTooN: 2D Animation Toolkit","Beta","linux","end-users-desktop","graphics","English/Spanish","c++","x-window-system-(x11)","2014-06-09","gnu-general-public-license-version-3.0-(gplv3)"
"LongBar",NA,"windows","advanced-end-users/developers/end-users-desktop","desktop-environment","English/Russian","c#/visual-basic-.net",".net-mono/win32-(ms-windows)/windows-aero","2013-04-19","microsoft-public-license"
"Master of Magic Real-Time Game Tweaker",NA,"bsd/linux/windows","NA","NA","NA","c++","qt","2020-03-16","NA"
"MyPhone - Voice and Video Chat client",NA,"windows","developers/end-users-desktop/telecommunications-industry","chat/conferencing/telephony","English/Russian","c++","win32-(ms-windows)","2013-04-16","mozilla-public-license-1.0-(mpl)"
"MyVD Virtual Directory","Beta","NA","developers/system-administrators","ldap","NA","java","NA","2017-12-25","apache-license-v2.0"
"No Gravity (Classic)",NA,"linux/windows","end-users-desktop","first-person-shooters/side-scrolling-arcade-games/simulation","NA","c","NA","2015-11-10","gnu-general-public-license-version-2.0-(gplv2)"
"NppGTags",NA,"windows","developers","source-code-browsing/text-editors","NA","c++","win32-(ms-windows)","2019-11-04","gnu-general-public-license-version-2.0-(gplv2)"
"Opera",NA,"NA","NA","NA","NA","NA","NA","2016-11-21","NA"
"PHP Random Videochat Roulette",NA,"linux/mac/windows","advanced-end-users/developers/information-technology/system-administrators/telecommunications-industry","chat/social-networking/video-conferencing","NA","php","web-based","2013-11-29","gnu-general-public-license-version-3.0-(gplv3)/other-license"
"Pupjibaro jessie",NA,"NA","NA","NA","NA","NA","NA","2017-06-10","NA"
"RogueScanner","Beta","bsd/linux/windows","financial-and-insurance-industry/government/healthcare-industry/information-technology/manufacturing/system-administrators","monitoring/security/systems-administration/wireless","NA","c++","NA","2013-03-27","gnu-general-public-license-version-2.0-(gplv2)"
"SENAITE",NA,"NA","NA","internet/office-business/scientific-engineering","NA","NA","NA","2020-03-03","gnu-general-public-license-version-2.0-(gplv2)"
"Small Registry Editor ",NA,"NA","NA","NA","NA","NA","NA","2016-03-14","NA"
"Squirrel Shell","Inactive","bsd/linux/windows","advanced-end-users/developers","system-shells","English","c++","console-terminal","2017-05-24","gnu-general-public-license-version-2.0-(gplv2)"
"Visual-MinGW","Alpha","windows","developers","integrated-development-environments-(ide)","English","c++","win32-(ms-windows)","2013-04-09","gnu-general-public-license-version-2.0-(gplv2)"
"WinApp_Manager",NA,"windows","NA","software-distribution","NA","NA","NA","2016-06-12","gnu-general-public-license-version-2.0-(gplv2)"
"ep128emu",NA,"bsd/linux/windows","advanced-end-users/developers/end-users-desktop","emulators","English","c/c++","fltk/opengl/win32-(ms-windows)/x-window-system-(x11)","2017-02-22","gnu-general-public-license-version-2.0-(gplv2)"
"jOcular","Pre-Alpha","linux/mac/windows","engineering/science-research","physics/scientific-engineering/visualization","NA","java","java-swing","2020-03-04","bsd-license"
"kiki the nanobot",NA,"bsd/linux/mac/windows","end-users-desktop","puzzle-games","Dutch/English/German/Portuguese/Spanish/Swedish","c++/python","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2012-09-17","public-domain"
"openArtist","Beta","linux","advanced-end-users/end-users-desktop","live-cd","NA","NA","NA","2014-05-06","bsd-license"
"pygsl python interface for GNU scientifi",NA,"NA","developers/end-users-desktop/science-research","interpreters/mathematics","English","c/python","NA","2018-09-20","gnu-general-public-license-version-2.0-(gplv2)"
"Auditory Modeling Toolbox","Beta","NA","developers/education/engineering","scientific-engineering","NA","c/matlab","NA","1 day ago","gnu-general-public-license-version-3.0-(gplv3)"
"AutoText","Beta","NA","NA","text-processing","NA","c#",".net-mono","2016-10-12","gnu-general-public-license-version-2.0-(gplv2)"
"Concept Explorer","Beta","linux/mac/windows","NA","artificial-intelligence","English","java","NA","2013-05-13","bsd-license"
"DirectPython 11","Alpha","windows","developers","3d-rendering/libraries","NA","c++/python","NA","2013-05-01","bsd-license"
"EIDORS","Alpha","linux/mac/windows","developers","user-interfaces","NA","java","project-is-a-graphics-toolkit/project-is-a-user-interface-(ui)-system","2020-04-24","gnu-general-public-license-version-2.0-(gplv2)"
"EmguCvSharp Live Face Detect",NA,"NA","NA","NA","NA","NA","NA","2018-05-01","NA"
"FFS File System Driver for Windows","Beta","bsd/windows","end-users-desktop","filesystems","NA","c","win32-(ms-windows)","2013-04-03","gnu-general-public-license-version-2.0-(gplv2)"
"Genode OS Framework",NA,"NA","developers/government/information-technology/other-audience/science-research/telecommunications-industry","operating-system-kernels/security","English","c/c++/python","NA","2020-02-28","affero-gnu-public-license"
"HaploView","Abandoned","linux/mac/windows","science-research","bio-informatics","English","java","NA","2015-04-10","mit-license"
"Huawei GSI",NA,"NA","NA","NA","NA","NA","NA","2020-03-31","NA"
"Java Game Maker","Beta","NA","NA","games-entertainment","NA","java","NA","2013-03-13","NA"
"MIKMOS - Mikrotik Monitoring System",NA,"NA","management","cms-systems/site-management/www-http","Indonesian","php","web-based","2019-03-25","NA"
"MPlayerGUI","Beta","windows","advanced-end-users","dvd/sound-audio/video","English","c++","win32-(ms-windows)","2015-08-03","gnu-general-public-license-version-2.0-(gplv2)"
"Mp3 Search Stream and Download",NA,"windows","end-users-desktop","mp3","NA","c#",".net-mono","2015-06-28","NA"
"Optilux","Alpha","bsd/linux/windows","advanced-end-users/developers/information-technology/science-research/telecommunications-industry","simulations","NA","matlab","NA","2019-05-22","gnu-general-public-license-version-2.0-(gplv2)"
"PG Mania",NA,"windows","advanced-end-users/engineering/science-research","astronomy/graphics-conversion/viewers","English/Russian","c#/c++",".net-mono/project-is-a-user-interface-(ui)-system/win32-(ms-windows)","2020-04-24","other-license"
"RecLink","Beta","linux","science-research","bio-informatics","English/Portuguese","c++","wxwidgets","2018-11-08","gnu-general-public-license-version-3.0-(gplv3)"
"Retro Flip Clock Gadget",NA,"windows","NA","desktop-environment","NA","javascript","NA","2015-10-28","gnu-general-public-license-version-2.0-(gplv2)"
"Scaffold Hunter",NA,"linux/mac/windows","developers/end-users-desktop/healthcare-industry/science-research","chemistry/information-analysis/visualization","English/German","java","java-swing","2018-06-20","gnu-general-public-license-version-3.0-(gplv3)"
"Slingscold",NA,"NA","NA","NA","NA","NA","NA","2015-08-07","NA"
"Super Methane Brothers Game",NA,"bsd/linux/windows","end-users-desktop","side-scrolling-arcade-games","English","c++","win32-(ms-windows)/x-window-system-(x11)","2013-04-10","gnu-general-public-license-version-2.0-(gplv2)"
"Vassal Age of Sigmar",NA,"NA","NA","NA","NA","NA","NA","2015-09-03","NA"
"VeriWell Verilog Simulator",NA,"NA","developers","electronic-design-automation-(eda)","NA","NA","NA","2015-08-06","gnu-general-public-license-version-2.0-(gplv2)"
"dxf2svg-inkscape",NA,"NA","NA","NA","NA","NA","NA","2016-07-15","NA"
"iRiver iFP driver","Beta","bsd/linux/mac","developers/end-users-desktop","filesystems/hardware-drivers","English","c","command-line","2013-06-04","gnu-general-public-license-version-2.0-(gplv2)"
"xpad",NA,"bsd/linux","end-users-desktop","desktop-environment","Afrikaans/Bulgarian/Chinese (Traditional)/Dutch/English/French/Hungarian/Irish Gaelic/Romanian/Spanish/Vietnamese","c","gtk+/x-window-system-(x11)","2013-04-09","gnu-general-public-license-version-2.0-(gplv2)"
"HXD for OS X",NA,"bsd/linux/mac","end-users-desktop/system-administrators","chat/file-sharing/internet","English","c","cocoa-(macos-x)","2016-03-19","gnu-general-public-license-version-2.0-(gplv2)"
"Webp Express",NA,"windows","NA","graphics-conversion","English","c++","win32-(ms-windows)","2020-04-17","gnu-general-public-license-version-3.0-(gplv3)"
"Free VCF to Excel XLSX",NA,"windows","NA","office-business","NA","visual-basic-.net",".net-mono","2015-08-02","NA"
"Intel AMT Open-source Tools",NA,"linux","developers","system","NA","c/c++","NA","2019-06-12","bsd-license/gnu-general-public-license-version-2.0-(gplv2)"
"Invoicex",NA,"NA","end-users-desktop","financial","Italian","java","java-swing","2017-10-04","gnu-general-public-license-version-2.0-(gplv2)"
"Jimm - Mobile Messaging",NA,"linux/mac/windows","developers/end-users-desktop/other-audience/telecommunications-industry","icq","Bulgarian/Czech/English/German/Italian/Lithuanian/Polish/Russian/Serbian","java","handheld-mobile-pda","2013-04-25","gnu-general-public-license-version-2.0-(gplv2)"
"AICP for RMX199X",NA,"NA","NA","NA","NA","NA","NA","5 days ago","NA"
"AOSiP-Vince",NA,"NA","NA","NA","NA","NA","NA","2019-06-29","NA"
"Anubis",NA,"NA","NA","NA","NA","NA","NA","2014-10-29","gnu-general-public-license-version-3.0-(gplv3)"
"CPU Limiter","Beta","windows","NA","system","English","c++","qt","2018-03-13","mit-license"
"Generic Image Decoder",NA,"NA","developers","libraries/viewers","NA","ada","NA","2020-02-05","mit-license"
"Heuristica",NA,"NA","NA","fonts","NA","NA","NA","2014-06-09","open-font-license-1.1-(ofl-1.1)"
"Hospital Manager",NA,"android/mac/windows","NA","accounting/medical-healthcare/office-suites","NA","NA","NA","2018-11-06","NA"
"Image2Code",NA,"bsd/linux/windows","developers","code-generators/graphics-conversion","English","c++","command-line/win32-(ms-windows)","2013-04-19","apache-license-v2.0"
"Infinity Roller","Alpha","windows","testers","NA","English","c++","qt","2016-07-06","NA"
"Isync: mailbox synchronizer",NA,"bsd/linux","end-users-desktop","imap","English","c","command-line","2020-01-08","gnu-general-public-license-version-2.0-(gplv2)"
"JForum2",NA,"linux/mac/windows","developers/system-administrators","message-boards","Brazilian Portuguese/Chinese (Simplified)/Chinese (Traditional)/Dutch/English/French/German/Hungarian/Italian/Japanese/Norwegian/Portuguese/Russian/Turkish","java/javascript","web-based","1 day ago","bsd-license"
"Jupiter","Abandoned","linux","end-users-desktop","system","NA","c#","gnome","2013-12-15","gnu-general-public-license-version-2.0-(gplv2)"
"Libre AV Converter 2.0",NA,"windows","end-users-desktop","multimedia/video/video-conversion","English/Portuguese/Spanish","visual-basic","win32-(ms-windows)/windows-aero","2020-01-20","gnu-general-public-license-version-3.0-(gplv3)"
"NS Log Analyser",NA,"NA","NA","NA","NA","NA","NA","5 days ago","NA"
"Nightingale",NA,"linux/mac/windows","advanced-end-users/developers/end-users-desktop","browsers/gnome/sound-audio","NA","c/c++/javascript","gnome/xul","2015-11-24","gnu-general-public-license-version-2.0-(gplv2)/mozilla-public-license-1.1-(mpl-1.1)"
"OMSI 2 Add-on VanHool Generationen Reihe",NA,"windows","NA","simulation","English/German","NA","NA","2017-11-04","creative-commons-attribution-license"
"Pearl Pantheon 7.1",NA,"linux","end-users-desktop","live-cd/os-distribution","NA","NA","NA","2019-12-11","mit-license"
"RTC-simulator","Alpha","NA","education/manufacturing","simulations","NA","NA","NA","2019-01-28","NA"
"Realme X",NA,"NA","NA","NA","NA","NA","NA","2020-04-21","NA"
"Rosy Custom Roms",NA,"NA","NA","NA","NA","NA","NA","2019-02-12","NA"
"Sistema de Facturaci<U+00F3>n Simple con PHP",NA,"linux/mac/windows","NA","software-development","Spanish","php","web-based","2016-11-14","creative-commons-attribution-non-commercial-license-v2.0"
"Sony Play Memories",NA,"NA","NA","NA","NA","NA","NA","2020-04-22","NA"
"The Bible Code","Inactive","windows","end-users-desktop","education/religion-and-philosophy","English","c#",".net-mono","2015-04-17","NA"
"The GLE Tubing and Extrusion Library",NA,"bsd/linux/windows","developers","3d-modeling/3d-rendering","NA","c/python","win32-(ms-windows)/x-window-system-(x11)","2013-06-03","gnu-general-public-license-version-2.0-(gplv2)/public-domain"
"Unicornscan","Beta","bsd/linux/mac/solaris","developers/information-technology/science-research/system-administrators","information-analysis/security","English","assembly/c","web-based","2013-05-30","gnu-general-public-license-version-2.0-(gplv2)"
"Varkon",NA,"bsd/linux/windows","advanced-end-users/developers/end-users-desktop","3d-modeling/visualization","Swedish","c","win32-(ms-windows)/x-window-system-(x11)","2012-11-18","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"WinHide","Beta","NA","end-users-desktop","system","NA","c","win32-(ms-windows)","2016-07-23","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Winpardus",NA,"NA","NA","NA","NA","NA","NA","2020-04-21","NA"
"Zekr Indonesia","Beta","windows","NA","sound-audio","Indonesian","java","NA","2014-10-06","gnu-general-public-license-version-2.0-(gplv2)"
"android nginx mysql pgsql php-fpm",NA,"NA","NA","NA","NA","NA","NA","2018-08-24","NA"
"dhcpstarv",NA,"linux","system-administrators","networking","English","c","command-line","2015-12-03","gnu-general-public-license-version-2.0-(gplv2)"
"dlink",NA,"NA","NA","NA","NA","NA","NA","2017-08-17","NA"
"muhasebeci",NA,"bsd/linux/windows","customer-service/developers/end-users-desktop/financial-and-insurance-industry","accounting/office-suites/point-of-sale","Bulgarian/English/German/Russian/Turkish","c","gnome/win32-(ms-windows)/x-window-system-(x11)","2014-01-19","gnu-general-public-license-version-2.0-(gplv2)"
"omegat-google-translate-without-api-key",NA,"NA","NA","computer-aided-translation-(cat)/text-processing","English","java","NA","2019-03-10","gnu-general-public-license-version-3.0-(gplv3)"
"rDock",NA,"linux","healthcare-industry/science-research","bio-informatics/molecular-mechanics","NA","c++","console-terminal","2017-11-02","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"simp",NA,"NA","NA","NA","NA","NA","NA","2015-07-03","NA"
"simplest ffmpeg player",NA,"NA","NA","NA","NA","NA","NA","2016-11-29","NA"
"test-protobuf-c",NA,"NA","NA","NA","NA","NA","NA","2020-04-24","NA"
"udoo-contrib",NA,"NA","NA","NA","NA","NA","NA","2019-09-25","NA"
"wmweather+",NA,"bsd/linux","end-users-desktop","desktop-environment/scientific-engineering","English","c","x-window-system-(x11)","2020-04-24","gnu-general-public-license-version-2.0-(gplv2)"
"Aqsis Renderer",NA,"NA","NA","NA","NA","NA","NA","2016-05-25","NA"
"Chemitorium",NA,"windows","end-users-desktop","chemistry/visualization","NA","c#",".net-mono","2016-06-30","gnu-general-public-license-version-3.0-(gplv3)"
"Inkscape Map","Beta","NA","developers","graphics-conversion/viewers","English","java","java-swing","2016-11-22","mit-license"
"JME C64","Inactive","linux/mac/windows","developers/end-users-desktop","emulators/games-entertainment","English","java","handheld-mobile-pda/java-awt/java-swing","2016-05-18","gnu-general-public-license-version-2.0-(gplv2)"
"JavaCC Eclipse Plugin",NA,"linux/mac/windows","developers","code-generators","NA","java","eclipse","2017-01-17","gnu-general-public-license-version-2.0-(gplv2)"
"Oddjob",NA,"linux/mac/windows","developers/end-users-desktop/system-administrators","cron-and-scheduling/frameworks/scheduling","NA","java","java-swing/web-based","2017-09-05","apache-license-v2.0"
